banks,window,variant,completion,completion_sd
4,10d,full_daf,98.5,0.62
4,10d,case_fpr,97.2,0.55
4,10d,dap_case,96.8,0.48
4,10d,dap_fpr,96.5,0.58
4,10d,case_only,95.8,0.42
4,10d,dap_only,95.2,0.68
4,10d,fpr_only,95.0,0.45
4,10d,baseline_lhac,91.5,0.72
2,10d,full_daf,78.5,1.1
2,10d,case_fpr,75.0,1.2
2,10d,dap_case,76.2,1.05
2,10d,dap_fpr,76.8,1.15
2,10d,case_only,72.5,0.95
2,10d,dap_only,73.5,1.3
2,10d,fpr_only,72.0,0.98
2,10d,baseline_lhac,68.0,1.4
1,10d,full_daf,48.0,1.6
1,10d,case_fpr,43.5,1.75
1,10d,dap_case,45.8,1.5
1,10d,dap_fpr,46.5,1.65
1,10d,case_only,40.5,1.4
1,10d,dap_only,42.0,1.85
1,10d,fpr_only,39.5,1.45
1,10d,baseline_lhac,35.5,2.0
4,1d,full_daf,97.2,0.83
4,1d,case_fpr,95.8,0.72
4,1d,dap_case,95.5,0.65
4,1d,dap_fpr,95.8,0.78
4,1d,case_only,94.2,0.58
4,1d,dap_only,94.0,0.9
4,1d,fpr_only,93.8,0.62
4,1d,baseline_lhac,90.5,0.95
