banks,window,variant,pattern,size,twotc,seed,completion
4,10d,full_daf,Uniform,200,10%,0,98.91724111281587
4,10d,full_daf,Uniform,200,10%,1,98.63533595872548
4,10d,full_daf,Uniform,200,10%,2,99.22313878262992
4,10d,full_daf,Uniform,200,10%,3,97.51324086925834
4,10d,full_daf,Uniform,200,10%,4,99.85092285085904
4,10d,full_daf,Uniform,200,10%,5,98.04309382390343
4,10d,full_daf,Uniform,200,10%,6,99.56846865113334
4,10d,full_daf,Uniform,200,10%,7,99.23244815709306
4,10d,full_daf,Uniform,200,10%,8,98.8379000620987
4,10d,full_daf,Uniform,200,10%,9,97.72422270171566
4,10d,full_daf,Uniform,200,20%,0,98.79641420862662
4,10d,full_daf,Uniform,200,20%,1,99.3391517285488
4,10d,full_daf,Uniform,200,20%,2,98.41386816080721
4,10d,full_daf,Uniform,200,20%,3,99.08199385948322
4,10d,full_daf,Uniform,200,20%,4,97.65840437829394
4,10d,full_daf,Uniform,200,20%,5,97.56701911354341
4,10d,full_daf,Uniform,200,20%,6,98.84933678966912
4,10d,full_daf,Uniform,200,20%,7,98.35136589640403
4,10d,full_daf,Uniform,200,20%,8,97.75833396536098
4,10d,full_daf,Uniform,200,20%,9,98.51057549404975
4,10d,full_daf,Uniform,200,30%,0,98.67077143193116
4,10d,full_daf,Uniform,200,30%,1,97.62758259225447
4,10d,full_daf,Uniform,200,30%,2,98.69276451277538
4,10d,full_daf,Uniform,200,30%,3,97.94023901011938
4,10d,full_daf,Uniform,200,30%,4,98.58432893083864
4,10d,full_daf,Uniform,200,30%,5,97.40314267916054
4,10d,full_daf,Uniform,200,30%,6,97.44293901852674
4,10d,full_daf,Uniform,200,30%,7,99.2216642370784
4,10d,full_daf,Uniform,200,30%,8,97.80048324239773
4,10d,full_daf,Uniform,200,30%,9,98.7708207881379
4,10d,full_daf,Uniform,300,10%,0,98.91927272753227
4,10d,full_daf,Uniform,300,10%,1,98.61544134024085
4,10d,full_daf,Uniform,300,10%,2,98.1213824808829
4,10d,full_daf,Uniform,300,10%,3,98.19929669789694
4,10d,full_daf,Uniform,300,10%,4,99.6419100542908
4,10d,full_daf,Uniform,300,10%,5,98.4927284241778
4,10d,full_daf,Uniform,300,10%,6,97.90683981173655
4,10d,full_daf,Uniform,300,10%,7,98.36446408705805
4,10d,full_daf,Uniform,300,10%,8,99.22421340153173
4,10d,full_daf,Uniform,300,10%,9,98.59433434729044
4,10d,full_daf,Uniform,300,20%,0,98.58188038587856
4,10d,full_daf,Uniform,300,20%,1,98.51048830952514
4,10d,full_daf,Uniform,300,20%,2,99.51060778411622
4,10d,full_daf,Uniform,300,20%,3,98.09223665068536
4,10d,full_daf,Uniform,300,20%,4,99.98727262933991
4,10d,full_daf,Uniform,300,20%,5,97.87935358772044
4,10d,full_daf,Uniform,300,20%,6,99.22126290007692
4,10d,full_daf,Uniform,300,20%,7,98.22967942791453
4,10d,full_daf,Uniform,300,20%,8,98.7217116401705
4,10d,full_daf,Uniform,300,20%,9,98.82515438156786
4,10d,full_daf,Uniform,300,30%,0,98.87812656293708
4,10d,full_daf,Uniform,300,30%,1,98.88939474368279
4,10d,full_daf,Uniform,300,30%,2,97.6272932924059
4,10d,full_daf,Uniform,300,30%,3,97.62613329026965
4,10d,full_daf,Uniform,300,30%,4,97.31278833485374
4,10d,full_daf,Uniform,300,30%,5,98.64500790226944
4,10d,full_daf,Uniform,300,30%,6,98.02490800082904
4,10d,full_daf,Uniform,300,30%,7,98.55370928405884
4,10d,full_daf,Uniform,300,30%,8,99.21705813582831
4,10d,full_daf,Uniform,300,30%,9,98.08388277979212
4,10d,full_daf,Uniform,400,10%,0,98.53475972517712
4,10d,full_daf,Uniform,400,10%,1,97.98122999275657
4,10d,full_daf,Uniform,400,10%,2,98.48491458828285
4,10d,full_daf,Uniform,400,10%,3,97.73157138424686
4,10d,full_daf,Uniform,400,10%,4,98.86681697559034
4,10d,full_daf,Uniform,400,10%,5,98.58773143779129
4,10d,full_daf,Uniform,400,10%,6,98.8685155619741
4,10d,full_daf,Uniform,400,10%,7,97.98421569539148
4,10d,full_daf,Uniform,400,10%,8,99.40230545003305
4,10d,full_daf,Uniform,400,10%,9,99.1905498259326
4,10d,full_daf,Uniform,400,20%,0,98.93896431162521
4,10d,full_daf,Uniform,400,20%,1,98.38826217660653
4,10d,full_daf,Uniform,400,20%,2,99.37360648117348
4,10d,full_daf,Uniform,400,20%,3,98.61849634242795
4,10d,full_daf,Uniform,400,20%,4,98.89354170685267
4,10d,full_daf,Uniform,400,20%,5,98.05555174593154
4,10d,full_daf,Uniform,400,20%,6,98.65361134581806
4,10d,full_daf,Uniform,400,20%,7,98.1620953858721
4,10d,full_daf,Uniform,400,20%,8,98.06329611760819
4,10d,full_daf,Uniform,400,20%,9,98.8393109346139
4,10d,full_daf,Uniform,400,30%,0,99.57561823971679
4,10d,full_daf,Uniform,400,30%,1,99.64518985554848
4,10d,full_daf,Uniform,400,30%,2,98.89748272749608
4,10d,full_daf,Uniform,400,30%,3,98.60077097700493
4,10d,full_daf,Uniform,400,30%,4,98.1042767623318
4,10d,full_daf,Uniform,400,30%,5,97.51470425273774
4,10d,full_daf,Uniform,400,30%,6,97.79465840939918
4,10d,full_daf,Uniform,400,30%,7,99.16642749168895
4,10d,full_daf,Uniform,400,30%,8,97.87948964657213
4,10d,full_daf,Uniform,400,30%,9,97.94481802558636
4,10d,case_fpr,Uniform,200,10%,0,97.6034532140188
4,10d,case_fpr,Uniform,200,10%,1,98.67642678045854
4,10d,case_fpr,Uniform,200,10%,2,95.85293572557224
4,10d,case_fpr,Uniform,200,10%,3,97.00611271323336
4,10d,case_fpr,Uniform,200,10%,4,97.86479437905723
4,10d,case_fpr,Uniform,200,10%,5,96.77620294153697
4,10d,case_fpr,Uniform,200,10%,6,96.77265739270531
4,10d,case_fpr,Uniform,200,10%,7,98.0054615528476
4,10d,case_fpr,Uniform,200,10%,8,97.42660616683533
4,10d,case_fpr,Uniform,200,10%,9,96.73983271267224
4,10d,case_fpr,Uniform,200,20%,0,97.68010154013848
4,10d,case_fpr,Uniform,200,20%,1,97.85993679862767
4,10d,case_fpr,Uniform,200,20%,2,97.01116192906072
4,10d,case_fpr,Uniform,200,20%,3,97.45439197702329
4,10d,case_fpr,Uniform,200,20%,4,96.95377043872232
4,10d,case_fpr,Uniform,200,20%,5,96.61228736253979
4,10d,case_fpr,Uniform,200,20%,6,97.64054989310583
4,10d,case_fpr,Uniform,200,20%,7,97.41781512718137
4,10d,case_fpr,Uniform,200,20%,8,97.85718904959602
4,10d,case_fpr,Uniform,200,20%,9,97.67219805636536
4,10d,case_fpr,Uniform,200,30%,0,97.07696891372878
4,10d,case_fpr,Uniform,200,30%,1,97.90884695911832
4,10d,case_fpr,Uniform,200,30%,2,97.2316146856041
4,10d,case_fpr,Uniform,200,30%,3,97.08934610955535
4,10d,case_fpr,Uniform,200,30%,4,97.71246263429818
