scale,method,completion,completion_sd,tardy,tardy_sd
0.1,adaptive_tlo,97.8,0.72,1.7,0.55
0.1,lppo,93.0,0.5,5.0,0.65
0.1,tlo_in_critic,94.2,0.88,5.5,0.78
0.1,ppo_lagrangian,95.0,1.1,4.2,0.92
0.1,rcpo,94.5,0.95,4.5,0.82
0.1,envelope_morl,95.5,0.65,3.2,0.48
0.1,weighted_rl,94.8,0.72,5.2,0.8
0.5,adaptive_tlo,98.2,0.65,1.5,0.48
0.5,lppo,93.5,0.42,4.7,0.56
0.5,tlo_in_critic,95.2,0.75,4.8,0.65
0.5,ppo_lagrangian,96.2,0.98,3.4,0.8
0.5,rcpo,95.5,0.82,3.7,0.7
0.5,envelope_morl,96.6,0.52,2.6,0.34
0.5,weighted_rl,95.8,0.55,4.5,0.68
1.0,adaptive_tlo,98.5,0.62,1.4,0.45
1.0,lppo,93.8,0.38,4.5,0.52
1.0,tlo_in_critic,95.8,0.68,4.5,0.58
1.0,ppo_lagrangian,96.5,0.95,3.2,0.78
1.0,rcpo,95.8,0.8,3.5,0.65
1.0,envelope_morl,97.0,0.48,2.4,0.3
1.0,weighted_rl,96.2,0.48,4.2,0.72
2.0,adaptive_tlo,98.3,0.65,1.5,0.48
2.0,lppo,93.5,0.45,4.7,0.58
2.0,tlo_in_critic,95.0,0.82,5.0,0.72
2.0,ppo_lagrangian,95.5,1.1,3.8,0.9
2.0,rcpo,95.0,0.9,4.0,0.78
2.0,envelope_morl,96.0,0.58,3.0,0.42
2.0,weighted_rl,95.2,0.62,5.0,0.78
5.0,adaptive_tlo,97.9,0.7,1.6,0.52
5.0,lppo,93.0,0.52,5.0,0.65
5.0,tlo_in_critic,93.8,1.0,5.8,0.92
5.0,ppo_lagrangian,94.0,1.3,4.8,1.1
5.0,rcpo,93.5,1.1,5.2,1.0
5.0,envelope_morl,94.5,0.78,4.0,0.6
5.0,weighted_rl,93.8,0.82,5.8,0.88
10.0,adaptive_tlo,97.5,0.78,1.8,0.58
10.0,lppo,92.5,0.58,5.3,0.72
10.0,tlo_in_critic,92.5,1.2,6.8,1.1
10.0,ppo_lagrangian,93.0,1.5,5.8,1.3
10.0,rcpo,92.2,1.3,6.2,1.2
10.0,envelope_morl,93.5,0.92,5.0,0.75
10.0,weighted_rl,92.8,0.98,6.5,1.0
