scale,method,seed,completion,tardy
0.1,adaptive_tlo,0,97.834837400684,0.7430650768678695
0.1,adaptive_tlo,1,97.39721335921988,1.6205897182018563
0.1,adaptive_tlo,2,97.35219677432993,1.7452682698695816
0.1,adaptive_tlo,3,97.59529736316098,1.9805119080642863
0.1,adaptive_tlo,4,99.04522948115807,1.0714185090993293
0.1,adaptive_tlo,5,98.85620802316217,2.2741112462145026
0.1,adaptive_tlo,6,97.80134112772846,2.1622578888753736
0.1,adaptive_tlo,7,98.27803250346868,3.092726220908938
0.1,adaptive_tlo,8,96.41173090080348,2.73963545988037
0.1,adaptive_tlo,9,97.452417174754,1.9856000432211487
0.1,lppo,0,92.58999780183623,5.410151965910705
0.1,lppo,1,92.23125677062437,5.144959719301046
0.1,lppo,2,92.82535335189718,4.747638316708855
0.1,lppo,3,93.20525057398311,5.255776136325833
0.1,lppo,4,92.15901980350674,5.159476400576793
0.1,lppo,5,92.4125984693316,3.971842858100117
0.1,lppo,6,93.38233864703655,4.864430809235592
0.1,lppo,7,93.32891413812504,3.8214812106804787
0.1,lppo,8,92.934108732412,4.331545090400576
0.1,lppo,9,93.32433635429315,5.773583492897194
0.1,tlo_in_critic,0,95.76151134995605,6.088313349966792
0.1,tlo_in_critic,1,93.55961289228892,5.1855640834770185
0.1,tlo_in_critic,2,93.3039948647578,5.1551974534196106
0.1,tlo_in_critic,3,94.91375142041062,5.11262890407499
0.1,tlo_in_critic,4,93.46700521432882,6.09152758335307
0.1,tlo_in_critic,5,92.60308661041272,5.740417399928198
0.1,tlo_in_critic,6,94.17753815611941,4.686107515859044
0.1,tlo_in_critic,7,95.94839212521525,5.868691984237028
0.1,tlo_in_critic,8,94.8846628605179,5.9480531056857515
0.1,tlo_in_critic,9,94.2506275956062,3.472594579892834
0.1,ppo_lagrangian,0,95.81850136554715,4.390821323563127
0.1,ppo_lagrangian,1,95.09475843952937,5.249468578462265
0.1,ppo_lagrangian,2,96.15180315128127,4.200808856029511
0.1,ppo_lagrangian,3,94.43807642237863,4.166150772492312
0.1,ppo_lagrangian,4,96.13739606357018,5.13743536199786
0.1,ppo_lagrangian,5,95.272961167704,5.853655301799276
0.1,ppo_lagrangian,6,94.30006539469078,3.8881673019039233
0.1,ppo_lagrangian,7,96.33663613569614,4.254948386873747
0.1,ppo_lagrangian,8,93.55509248069717,2.964909891465389
0.1,ppo_lagrangian,9,94.23068791637037,3.612579080819141
0.1,rcpo,0,94.07373966877817,4.430256864786384
0.1,rcpo,1,94.41388507029237,3.3670737606689993
0.1,rcpo,2,94.67480014589144,4.171889733443028
0.1,rcpo,3,94.43504011579243,3.420874683079769
0.1,rcpo,4,92.67540470322716,3.956426469203607
0.1,rcpo,5,95.11289289597185,4.936141889045321
0.1,rcpo,6,93.7052559034833,4.274195762140494
0.1,rcpo,7,95.15706682767838,3.5687897532239923
0.1,rcpo,8,95.96093647440127,3.696412498983582
0.1,rcpo,9,94.93012742308727,3.749278137591328
0.1,envelope_morl,0,95.50612388309848,3.121149037978373
0.1,envelope_morl,1,95.49490253585329,3.440574215797203
0.1,envelope_morl,2,95.03023102330405,4.120187256617794
0.1,envelope_morl,3,94.61464327503538,3.230249362081966
0.1,envelope_morl,4,95.94826174225275,2.6585852391189273
0.1,envelope_morl,5,95.56363543549575,2.9333067729975113
0.1,envelope_morl,6,95.56459683003314,2.4455952766657516
0.1,envelope_morl,7,94.8621809729959,2.1337830120100545
0.1,envelope_morl,8,95.88699041387729,3.052599470410898
0.1,envelope_morl,9,94.31523324509354,2.954919961662869
0.1,weighted_rl,0,94.62043538286424,5.478725703624248
0.1,weighted_rl,1,95.6429021368776,5.072527043149195
0.1,weighted_rl,2,95.025669509589,4.572998502291426
0.1,weighted_rl,3,94.3325564265961,5.700218891466504
0.1,weighted_rl,4,95.58824465169424,4.163265165719852
0.1,weighted_rl,5,94.12883637447409,6.231686009470638
0.1,weighted_rl,6,94.77739122344592,5.414038062822819
0.1,weighted_rl,7,95.08954149267068,4.618011054446607
0.1,weighted_rl,8,94.0927592273645,4.667487794517505
0.1,weighted_rl,9,95.28772848545462,5.679491107889072
0.5,adaptive_tlo,0,97.46311088244079,1.6054730611806673
0.5,adaptive_tlo,1,98.03749967102796,1.677684949698588
0.5,adaptive_tlo,2,96.84134286656531,1.768342772765919
0.5,adaptive_tlo,3,98.96501313401922,1.1940361607679977
0.5,adaptive_tlo,4,99.0098490637317,2.0020557903400844
