variant,pattern,size,twotc,seed,completion,tardy
adaptive_tlo,Uniform,200,10%,0,99.41343126766198,1.3605725085509774
adaptive_tlo,Uniform,200,10%,1,99.39699532442756,1.256472641584424
adaptive_tlo,Uniform,200,10%,2,99.0302197023507,1.7431925162376825
adaptive_tlo,Uniform,200,10%,3,96.72325956284995,2.1002681168612636
adaptive_tlo,Uniform,200,10%,4,99.2668017653939,1.4256221965444407
adaptive_tlo,Uniform,200,10%,5,99.0238812498012,1.410058451566155
adaptive_tlo,Uniform,200,10%,6,97.56164660375454,1.026103579962904
adaptive_tlo,Uniform,200,10%,7,98.10620589365587,1.0502286996766066
adaptive_tlo,Uniform,200,10%,8,97.80453534194241,1.0046396864946203
adaptive_tlo,Uniform,200,10%,9,99.3817346362075,1.5079926460751298
adaptive_tlo,Uniform,200,20%,0,98.39906292602888,0.9418739642657405
adaptive_tlo,Uniform,200,20%,1,97.73557458820164,1.4045724487145217
adaptive_tlo,Uniform,200,20%,2,97.59002489892703,1.027761513310335
adaptive_tlo,Uniform,200,20%,3,98.64772178192139,1.943587301578949
adaptive_tlo,Uniform,200,20%,4,98.09462967618448,1.252356925454621
adaptive_tlo,Uniform,200,20%,5,98.72399662381456,0.7131238580811462
adaptive_tlo,Uniform,200,20%,6,97.71784519784264,1.6454806929462282
adaptive_tlo,Uniform,200,20%,7,97.68916575483327,1.7564127736496524
adaptive_tlo,Uniform,200,20%,8,98.55799215666528,1.5911737661757712
adaptive_tlo,Uniform,200,20%,9,98.5983569198372,1.088652000290173
adaptive_tlo,Uniform,200,30%,0,98.76780641405236,1.1908474158896414
adaptive_tlo,Uniform,200,30%,1,97.75191729971314,1.6241897635569071
adaptive_tlo,Uniform,200,30%,2,98.59361166245746,0.5821173472736689
adaptive_tlo,Uniform,200,30%,3,99.12104911249209,0.9071180790476301
adaptive_tlo,Uniform,200,30%,4,99.78827599398541,0.9223839045134603
adaptive_tlo,Uniform,200,30%,5,99.7754099854785,2.0279838460213573
