pattern,size,twotc,seed,method,completion,tardy,runtime_sec
Uniform,200,10%,0,lhac,99.99999967188973,1.9190552118399274e-06,39.43260504345071
Uniform,200,10%,0,gamip,99.99999879623967,0.23528249468323115,-110.50892771698278
Uniform,200,10%,1,lhac,99.99999982870291,6.985104559090282e-07,10.517667185691359
Uniform,200,10%,1,gamip,100.0000015031904,0.3091878503230538,146.4148132677915
Uniform,200,10%,2,lhac,100.00000099593471,1.6745305201024554e-06,23.892159353652268
Uniform,200,10%,2,gamip,100.00000042240812,0.20272679980996786,183.01422198345216
Uniform,200,10%,3,lhac,100.00000015999908,2.9025048295202993e-07,30.56794164458908
Uniform,200,10%,3,gamip,99.99999945336837,0.20380319059222332,133.9287928910257
Uniform,200,10%,4,lhac,99.99999884241277,-1.1950417367131083e-06,27.889229833661638
Uniform,200,10%,4,gamip,100.00000066530393,0.13785294901789596,32.96033858815355
Uniform,200,10%,5,lhac,100.00000000910711,-5.387174597497677e-07,30.331616218886218
Uniform,200,10%,5,gamip,100.00000065478577,0.2353755583861496,180.1722909652337
Uniform,200,10%,6,lhac,99.99999852951042,-2.5740273313282893e-07,22.11849574700643
Uniform,200,10%,6,gamip,99.99999977490212,0.22125391311730522,239.33965145593393
Uniform,200,10%,7,lhac,99.999998961808,-6.904532821881423e-07,19.397736644205697
Uniform,200,10%,7,gamip,100.00000001513368,0.1402505710239528,84.47485238746
Uniform,200,10%,8,lhac,99.99999864242886,1.1131282788093237e-06,32.764416690438395
Uniform,200,10%,8,gamip,100.00000104104473,0.16330619199494803,183.09378451739718
Uniform,200,10%,9,lhac,99.9999999612719,-1.3210494007339816e-06,14.702088630517082
Uniform,200,10%,9,gamip,99.99999990054248,0.09671682089957914,211.9194057985725
Uniform,200,20%,0,lhac,99.9999994889291,0.2980864878922232,17.267421896888358
Uniform,200,20%,0,gamip,100.00000160913686,0.6655578383959679,147.59541533840644
Uniform,200,20%,1,lhac,100.00000011605984,0.12987762636424635,29.520254499960096
Uniform,200,20%,1,gamip,99.99999992816174,0.5822615898531696,173.68257302939136
Uniform,200,20%,2,lhac,99.99999971763859,0.2757968334747551,20.40728203102437
Uniform,200,20%,2,gamip,99.99999875698914,0.622601101170569,182.90581784829385
Uniform,200,20%,3,lhac,99.99999838353801,0.15045785584450128,21.012110701257555
Uniform,200,20%,3,gamip,99.99999819591828,0.3789763230329599,153.01861466872705
Uniform,200,20%,4,lhac,100.00000028153806,0.23595647308032203,23.19130901078822
Uniform,200,20%,4,gamip,99.9999994922153,0.6026208779269289,326.7941536885455
Uniform,200,20%,5,lhac,100.00000013899809,0.13817811897892424,32.30117912343556
Uniform,200,20%,5,gamip,100.00000052860312,0.3380066567912584,324.7492561264547
Uniform,200,20%,6,lhac,100.00000071658663,0.24748181786224566,28.179294110149375
Uniform,200,20%,6,gamip,99.99999928714186,0.3972152402191986,134.48776765012587
Uniform,200,20%,7,lhac,99.99999899883336,0.1862275122034673,22.956229080745388
Uniform,200,20%,7,gamip,100.00000049591333,0.46016933662481285,110.65886659603511
Uniform,200,20%,8,lhac,100.00000097217395,0.1405854849369472,25.47973168472883
Uniform,200,20%,8,gamip,99.99999905957137,0.37475551204830493,468.76769283990916
Uniform,200,20%,9,lhac,100.00000086386046,0.21193235455284012,21.089370606139127
