method,pattern,size,twotc,seed,completion,tardy
lhac_daf,Uniform,200,10%,0,97.7996382453678,1.5023422087661327
lhac_daf,Uniform,200,10%,1,98.30828120884007,0.9173851001420352
lhac_daf,Uniform,200,10%,2,98.19807044892327,1.751702843269793
lhac_daf,Uniform,200,10%,3,99.95595913505512,1.4404318651539871
lhac_daf,Uniform,200,10%,4,98.08646125722359,1.601525195533946
lhac_daf,Uniform,200,10%,5,98.00908590298236,1.9770549427670996
lhac_daf,Uniform,200,10%,6,98.66397911895989,0.7432574132939641
lhac_daf,Uniform,200,10%,7,98.74762109946525,0.7493701086901211
lhac_daf,Uniform,200,10%,8,98.53577169314626,1.6685367557899138
lhac_daf,Uniform,200,10%,9,99.95056508171639,2.2139951094795283
lhac_daf,Uniform,200,20%,0,99.61944543431613,1.4227059623631537
lhac_daf,Uniform,200,20%,1,98.86258345735324,1.589756765781984
lhac_daf,Uniform,200,20%,2,98.53635999764869,0.28217350124068363
lhac_daf,Uniform,200,20%,3,97.84143153773809,1.3035616852129022
lhac_daf,Uniform,200,20%,4,97.09204823177265,1.8071716449847632
lhac_daf,Uniform,200,20%,5,98.18938758167901,1.2555358898319229
lhac_daf,Uniform,200,20%,6,99.55149261751278,1.393009279531993
lhac_daf,Uniform,200,20%,7,99.13015343373158,2.037472015818998
lhac_daf,Uniform,200,20%,8,98.47652092885089,1.1319186357772957
lhac_daf,Uniform,200,20%,9,98.40265873207197,0.8786364632946266
lhac_daf,Uniform,200,30%,0,98.76198423698719,0.9396166644413695
lhac_daf,Uniform,200,30%,1,97.80231499576267,1.5376361615251657
lhac_daf,Uniform,200,30%,2,98.18586156756538,1.7571132240125678
lhac_daf,Uniform,200,30%,3,98.46403944876813,1.803100807392358
lhac_daf,Uniform,200,30%,4,98.7810970265766,1.571442540502313
lhac_daf,Uniform,200,30%,5,98.17014830165958,1.7816832622422305
lhac_daf,Uniform,200,30%,6,99.67004686092201,1.65696905953642
