perturb_type,level,pattern,size,twotc,seed,method,completion,tardy
arrivals,0.0,Uniform,200,10%,0,lhac,95.03616536681452,2.5426266714182604
arrivals,0.0,Uniform,200,10%,0,gamip,77.73167783381368,9.279383938104663
arrivals,0.0,Uniform,200,10%,1,lhac,95.55031862767433,2.4029866766927457
arrivals,0.0,Uniform,200,10%,1,gamip,77.36786176950797,7.9485364996934385
arrivals,0.0,Uniform,200,10%,2,lhac,94.8361555435676,2.6473089697987837
arrivals,0.0,Uniform,200,10%,2,gamip,76.45968052819661,8.87767316472261
arrivals,0.0,Uniform,200,10%,3,lhac,95.41668808374219,2.700600340587368
arrivals,0.0,Uniform,200,10%,3,gamip,78.46872186030328,7.233298304394886
arrivals,0.0,Uniform,200,10%,4,lhac,96.09794106485842,2.0656828692125586
arrivals,0.0,Uniform,200,10%,4,gamip,78.5905621444492,8.196224765347996
arrivals,0.0,Uniform,200,10%,5,lhac,95.23240347144782,3.0823699013350963
arrivals,0.0,Uniform,200,10%,5,gamip,76.8238962531809,8.1229340225605
arrivals,0.0,Uniform,200,10%,6,lhac,94.81941473792673,2.4452870116716743
arrivals,0.0,Uniform,200,10%,6,gamip,77.70590228858597,8.294436916112172
arrivals,0.0,Uniform,200,10%,7,lhac,94.62924542350648,2.349534009865416
arrivals,0.0,Uniform,200,10%,7,gamip,80.59524925769973,7.417604004792434
arrivals,0.0,Uniform,200,10%,8,lhac,96.2693714853953,2.8801543657220794
arrivals,0.0,Uniform,200,10%,8,gamip,78.103134401809,7.986472854709731
arrivals,0.0,Uniform,200,10%,9,lhac,95.56961544064154,2.514090780103209
arrivals,0.0,Uniform,200,10%,9,gamip,78.11348276632769,8.956052001192088
arrivals,0.0,Uniform,200,20%,0,lhac,94.76475389951773,2.352164579976378
arrivals,0.0,Uniform,200,20%,0,gamip,78.50306319505712,8.184720227870507
arrivals,0.0,Uniform,200,20%,1,lhac,94.82174111150789,2.7758103542209334
arrivals,0.0,Uniform,200,20%,1,gamip,79.00160067641528,8.492936710207974
arrivals,0.0,Uniform,200,20%,2,lhac,95.23891455391038,2.6943320487816136
arrivals,0.0,Uniform,200,20%,2,gamip,78.9088365258332,8.440009230709842
arrivals,0.0,Uniform,200,20%,3,lhac,95.26659201460608,2.7584659837370054
arrivals,0.0,Uniform,200,20%,3,gamip,77.86083767975485,9.655731035567346
arrivals,0.0,Uniform,200,20%,4,lhac,94.57994410832764,2.5048772797806795
arrivals,0.0,Uniform,200,20%,4,gamip,78.39718136413761,8.889974061304644
